party_primary,primary_date,state,district,first_name,last_name,middle_name,suffix,race,gender,result,opponent(s),incumbent,notes,party (if top-two system),race source if not Ballotpedia profile
DEMOCRATIC,6/23/2020,NY,15,DAVID,FRANKS,PHILIP,JR,NOT_FOUND,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,16,ELIOT,ENGEL,,,WHITE,MAN,LOST,YES,YES,,,
DEMOCRATIC,6/23/2020,NY,16,JAMAAL,BOWMAN,,,BLACK,MAN,WON,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,16,CHRIS,FINK,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,16,ANDOM,GHEBREGHIOGIS,,,BLACK,MAN,WITHDREW,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,16,SAMMY,RAVELO,,,BLACK,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,17,DAVID,BUCHWALD,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,17,DAVID,CARLUCCI,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,17,ASHA,CASTLEBERRY-HERNANDEZ,,,BLACK,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,17,EVELYN,FARKAS,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,17,ALLISON,FINE,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,17,MONDAIRE,JONES,,,BLACK,MAN,WON,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,17,CATHERINE,PARKER,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,17,ADAM,SCHLEIFER,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,18,SEAN,MALONEY,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,NY,19,ANTONIO,DELGADO,,,BLACK,MAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,NY,20,PAUL,TONKO,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,NY,21,TEDRA,COBB,,,WHITE,WOMAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,NY,22,ANTHONY,BRINDISI,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,NY,23,TRACY,MITRANO,,,WHITE,WOMAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,NY,24,DANA,BALTER,,,WHITE,WOMAN,WON,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,24,FRANCIS,CONOLE,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,25,JOSEPH,MORELLE,,,WHITE,MAN,WON,YES,YES,,,
DEMOCRATIC,6/23/2020,NY,25,ROBIN,WILT,,,BLACK,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,NY,26,BRIAN,HIGGINS,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,NY,27,NATE,MCMURRAY,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,1,LEE,ZELDIN,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,2,ANDREW,GARBARINO,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,NY,2,MICHAEL,LIPETRI,,JR,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,NY,3,GEORGE,DEVOLDER-SANTOS,,,HISPANIC,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,4,CINDY,GROSZ,,,WHITE,WOMAN,LOST,YES,NO,,,https://www.facebook.com/CindyGroszforCongress/
REPUBLICAN,6/23/2020,NY,4,DOUGLAS,TUMAN,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,NY,6,THOMAS,ZMICH,,,WHITE,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,7,BRIAN,KELLY,,,NOT_FOUND,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,8,GARFIELD,WALLACE,,,NOT_FOUND,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,9,CONSTANTINE,JEAN-PIERRE,,,BLACK,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,10,CATHY,BERNSTEIN,,,WHITE,WOMAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,11,JOE,CALDARERA,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,NY,11,NICOLE,MALLIOTAKIS,,,OTHER,WOMAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,NY,12,CARLOS,SANTIAGO-CANO,,,HISPANIC,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,13,LOVELYNN,GWINN,,,OTHER,WOMAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,14,JOHN,CUMMINGS,,,WHITE,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,15,ORLANDO,MOLINA,,,NOT_FOUND,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,17,YEHUDIS,GOTTESFELD,,,WHITE,WOMAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,NY,17,MAUREEN,SCHULMAN,MCARDLE,,WHITE,WOMAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,NY,18,CHELE,FARLEY,,,WHITE,WOMAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,19,OLA,HAWATMEH,,,OTHER,WOMAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,NY,19,KYLE,DE WATER,VAN,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,NY,20,ELIZABETH,JOY,,,WHITE,WOMAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,21,ELISA,STEFANIK,,,WHITE,WOMAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,22,GEORGE,PHILLIPS,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,NY,22,CLAUDIA,TENNEY,,,WHITE,WOMAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,NY,23,TOM,REED,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,24,JOHN,KATKO,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,25,GEORGE,MITRIS,,,WHITE,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,26,RICKY,DONOVAN,,SR,WHITE,MAN,WON,NO,NO,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,NY,27,CHRISTOPHER,JACOBS,,,WHITE,MAN,WON,YES,YES,,,
REPUBLICAN,6/23/2020,NY,27,STEFAN,MYCHAJLIW,,JR,NOT_FOUND,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,NY,27,BETH,PARLATO,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,VA,1,QASIM,RASHID,,,ASIAN,MAN,WON,YES,NO,,,
DEMOCRATIC,6/23/2020,VA,1,VANGIE,WILLIAMS,,,BLACK,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,VA,2,ELAINE,LURIA,,,WHITE,WOMAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,VA,3,ROBERT,SCOTT,C,,BLACK,MAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,VA,4,ASTON,MCEACHIN,DONALD,,BLACK,MAN,WON,YES,YES,,,
DEMOCRATIC,6/23/2020,VA,4,R,LEVINE,CAZEL,,BLACK,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,VA,5,ROGER,HUFFSTETLER,DEAN,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,VA,5,JOHN,LESINSKI,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,VA,5,CLAIRE,RUSSO,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/23/2020,VA,5,CAMERON,WEBB,,,BLACK,MAN,WON,YES,NO,,,
DEMOCRATIC,6/23/2020,VA,6,NICHOLAS,BETTS,,,BLACK,MAN,WON,NO,NO,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,VA,7,ABIGAIL,SPANBERGER,,,WHITE,WOMAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,VA,8,DONALD,BEYER,STERNOFF,JR,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,VA,10,JENNIFER,WEXTON,,,WHITE,WOMAN,WON,NO,YES,PRIMARY CANCELLED,,
DEMOCRATIC,6/23/2020,VA,11,GERALD,CONNOLLY,,,WHITE,MAN,WON,YES,YES,,,
DEMOCRATIC,6/23/2020,VA,11,ZAINAB,MOHSINI,,,ASIAN,WOMAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,1,ROBERT,WITTMAN,J,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,VA,2,JAROME,BELL,,,BLACK,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,2,BEN,LOYOLA,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,2,SCOTT,TAYLOR,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,VA,3,JOHN,COLLICK,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,VA,3,MADISON,DOWNS,,,BLACK,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,3,GEORGE,YACUS,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,4,LEON,BENJAMIN,SR,,BLACK,MAN,WON,NO,NO,,,
REPUBLICAN,6/23/2020,VA,5,DENVER,RIGGLEMAN,LEE,III,WHITE,MAN,LOST,YES,YES,,,
REPUBLICAN,6/23/2020,VA,5,BOB,GOOD,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,VA,6,BENJAMIN,CLINE,LEE,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,VA,7,NICK,FREITAS,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,VA,7,PETE,GREENWALD,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,7,ANDREW,KNAGGS,,,BLACK,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,7,JOHN,MCGUIRE,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,7,TINA,RAMIREZ,,,HISPANIC,WOMAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,7,JASON,ROBERGE,ALEXANDER,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,8,MARK,ELLMORE,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,8,JEFF,JORDAN,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,VA,9,M,GRIFFITH,MORGAN,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/23/2020,VA,10,ALISCIA,ANDREWS,,,WHITE,WOMAN,WON,YES,NO,,,
REPUBLICAN,6/23/2020,VA,10,JEFFERY,DOVE,ANTHONY,JR,BLACK,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,10,ROB,JONES,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/23/2020,VA,10,MATTHEW,TRUONG,,,ASIAN,MAN,LOST,YES,NO,,,https://www.winchesterstar.com/winchester_star/matthew-truong-seeks-gop-nod-to-run-in-10th-congressional-district/article_45ff19f6-8fe6-544f-9653-046c87b64293.html
REPUBLICAN,6/23/2020,VA,11,MANGA,ANANTATMULA,,,ASIAN,WOMAN,WON,NO,NO,,,
DEMOCRATIC,6/30/2020,CO,1,DIANA,DEGETTE,,,WHITE,WOMAN,WON,NO,YES,,,
DEMOCRATIC,6/30/2020,CO,2,JOE,NEGUSE,,,BLACK,MAN,WON,NO,YES,,,
DEMOCRATIC,6/30/2020,CO,3,DIANE,BUSH,MITSCH,,WHITE,WOMAN,WON,YES,NO,,,
DEMOCRATIC,6/30/2020,CO,3,JAMES,IACINO,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/30/2020,CO,4,IKE,MCCORKLE,,,WHITE,MAN,WON,NO,NO,,,
DEMOCRATIC,6/30/2020,CO,5,JILLIAN,FREELAND,,,WHITE,WOMAN,WON,NO,NO,,,
DEMOCRATIC,6/30/2020,CO,6,JASON,CROW,,,WHITE,MAN,WON,NO,YES,,,
DEMOCRATIC,6/30/2020,CO,7,ED,PERLMUTTER,,,WHITE,MAN,WON,NO,YES,,,
REPUBLICAN,6/30/2020,CO,1,SHANE,BOLLING,,,WHITE,MAN,WON,NO,NO,,,
REPUBLICAN,6/30/2020,CO,2,CHARLES,WINN,,,WHITE,MAN,WON,NO,NO,,,
REPUBLICAN,6/30/2020,CO,3,SCOTT,TIPTON,,,WHITE,MAN,LOST,YES,YES,,,
REPUBLICAN,6/30/2020,CO,3,LAUREN,BOEBERT,,,WHITE,WOMAN,WON,YES,NO,,,
REPUBLICAN,6/30/2020,CO,4,KEN,BUCK,,,WHITE,MAN,WON,NO,YES,,,
REPUBLICAN,6/30/2020,CO,5,DOUG,LAMBORN,,,WHITE,MAN,WON,NO,YES,,,
REPUBLICAN,6/30/2020,CO,6,STEVE,HOUSE,,,WHITE,MAN,WON,NO,NO,,,
REPUBLICAN,6/30/2020,CO,7,CASPER,STOCKHAM,,,BLACK,MAN,WON,NO,NO,,,
DEMOCRATIC,6/30/2020,OK,1,KOJO,ASAMOA-CAESAR,,,BLACK,MAN,WON,YES,NO,,,
DEMOCRATIC,6/30/2020,OK,1,MARK,KEETER,,,WHITE,MAN,LOST,YES,NO,,,https://www.ballotready.org/people/mark-a-keeter
DEMOCRATIC,6/30/2020,OK,2,DANYELL,LANIER,,,BLACK,WOMAN,WON,NO,NO,PRIMARY CANCELLED,,
DEMOCRATIC,6/30/2020,OK,3,ZOE,MIDYETT,ANN,,WHITE,WOMAN,WON,NO,NO,PRIMARY CANCELLED,,
DEMOCRATIC,6/30/2020,OK,4,JOHN,ARGO,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/30/2020,OK,4,MARY,BRANNON,,,WHITE,WOMAN,WON,YES,NO,,,
DEMOCRATIC,6/30/2020,OK,4,DAVID,SLEMMONS,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/30/2020,OK,5,KENDRA,HORN,,,WHITE,WOMAN,WON,YES,YES,,,
DEMOCRATIC,6/30/2020,OK,5,TOM,GUILD,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,1,KEVIN,HERN,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/30/2020,OK,2,MARKWAYNE,MULLIN,,,WHITE,MAN,WON,YES,YES,,,
REPUBLICAN,6/30/2020,OK,2,RHONDA,HOPKINS,,,OTHER,WOMAN,LOST,YES,NO,,,https://www.ballotready.org/people/rhonda-hopkins
REPUBLICAN,6/30/2020,OK,2,JOSEPH,SILK,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,3,FRANK,LUCAS,,,WHITE,MAN,WON,NO,YES,PRIMARY CANCELLED,,
REPUBLICAN,6/30/2020,OK,4,TOM,COLE,,,WHITE,MAN,WON,YES,YES,,,
REPUBLICAN,6/30/2020,OK,4,GILBERT,SANDERS,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,4,TREVOR,SIPES,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,4,JAMES,TAYLOR,,,BLACK,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,5,MICHAEL,BALLARD,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,5,JANET,BARRESI,,,WHITE,WOMAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,5,STEPHANIE,BICE,,,WHITE,WOMAN,WON,YES,NO,,,
REPUBLICAN,6/30/2020,OK,5,DAVID,HILL,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,5,SHELLI,LANDON,,,WHITE,WOMAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,5,JAKE,MERRICK,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,OK,5,TERRY,NEESE,,,WHITE,WOMAN,WON,YES,NO,,,
REPUBLICAN,6/30/2020,OK,5,CHARLES,PRINGLE,,,WHITE,MAN,LOST,YES,NO,,,https://www.facebook.com/watch/?v=264547181645989
REPUBLICAN,6/30/2020,OK,5,MILES,RAHIMI,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/30/2020,UT,1,JAMIE,CHEEK,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/30/2020,UT,1,DARREN,PARRY,,,WHITE,WOMAN,WON,YES,NO,,,
DEMOCRATIC,6/30/2020,UT,2,RANDY,HOPKINS,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/30/2020,UT,2,LARRY,LIVINGSTON,,,WHITE,MAN,LOST,YES,NO,,,https://www.standard.net/news/government/2016/jul/06/with-no-money-but-a-phone-democrat-campaigns-for-davis-commission/
DEMOCRATIC,6/30/2020,UT,2,KAEL,WESTON,,,WHITE,WOMAN,WON,YES,NO,,,
DEMOCRATIC,6/30/2020,UT,3,JARED,ANDERSON,LYLE,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/30/2020,UT,3,TREY,ROBINSON,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/30/2020,UT,3,DEVIN,THORPE,,,WHITE,MAN,WON,YES,NO,,,
DEMOCRATIC,6/30/2020,UT,4,BEN,MCADAMS,,,WHITE,MAN,WON,YES,YES,,,
DEMOCRATIC,6/30/2020,UT,4,DANIEL,BECKSTRAND,,,WHITE,MAN,LOST,YES,NO,,,https://www.facebook.com/Beckstrand2020/
REPUBLICAN,6/30/2020,UT,1,KERRY,GIBSON,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,1,BLAKE,MOORE,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,6/30/2020,UT,1,BOB,STEVENSON,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,1,KATIE,WITT,,,WHITE,WOMAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,2,CHRIS,STEWART,,,WHITE,MAN,WON,YES,YES,,,
REPUBLICAN,6/30/2020,UT,2,MARY,BURKETT,,,WHITE,WOMAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,2,TY,JENSEN,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,2,CARSON,JORGENSEN,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,3,JOHN,CURTIS,,,WHITE,MAN,WON,YES,YES,,,
REPUBLICAN,6/30/2020,UT,3,TIMOTHY,AALDERS,NOEL,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,4,TRENT,CHRISTENSEN,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,4,KIM,COLEMAN,,,WHITE,WOMAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,4,JAY,MCFARLAND,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/30/2020,UT,4,BURGESS,OWENS,,,BLACK,MAN,WON,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,1,DONALD,NORCROSS,,,WHITE,MAN,WON,NO,YES,,,
DEMOCRATIC,7/7/2020,NJ,2,WILL,CUNNINGHAM,,,BLACK,MAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,2,JOHN,FRANCIS,,III,BLACK,MAN,LOST,YES,NO,,,https://www.facebook.com/johnfrancisforcongress/
DEMOCRATIC,7/7/2020,NJ,2,BRIGID,HARRISON,CALLAHAN,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,2,AMY,KENNEDY,,,WHITE,WOMAN,WON,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,2,ROBERT,TURKAVAGE,,,WHITE,MAN,LOST,YES,NO,,,https://newjerseyglobe.com/congress/turkavage-to-challenge-van-drew-as-democrat/
DEMOCRATIC,7/7/2020,NJ,3,ANDREW,KIM,,,ASIAN,MAN,WON,NO,YES,,,
DEMOCRATIC,7/7/2020,NJ,4,DAVID,APPLEFIELD,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,4,CHRISTINE,CONFORTI,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,4,STEPHANIE,SCHMID,,,WHITE,WOMAN,WON,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,5,JOSH,GOTTHEIMER,,,WHITE,MAN,WON,YES,YES,,,
DEMOCRATIC,7/7/2020,NJ,5,ARATI,KREIBICH,,,ASIAN,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,6,FRANK,PALLONE,,JR,WHITE,MAN,WON,YES,YES,,,
DEMOCRATIC,7/7/2020,NJ,6,AMANI,AL-KHATAHTBEH,,,ASIAN,WOMAN,LOST,YES,NO,,,https://www.harpersbazaar.com/culture/politics/a32096765/amani-al-khatahtbeh-new-jersey-congressional-race-district-six/
DEMOCRATIC,7/7/2020,NJ,6,RUSSELL,CIRINCIONE,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,7,TOM,MALINOWSKI,,,WHITE,MAN,WON,NO,YES,,,
DEMOCRATIC,7/7/2020,NJ,8,ALBIO,SIRES,,,WHITE,MAN,WON,YES,YES,,,
DEMOCRATIC,7/7/2020,NJ,8,HECTOR,OSEGUERA,,,BLACK,MAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,8,WILL,SHEEHAN,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,9,BILL,PASCRELL,,,WHITE,MAN,WON,YES,YES,,,
DEMOCRATIC,7/7/2020,NJ,9,ALP,BASARAN,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,9,ZINOVIA,SPEZAKIS,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,10,DONALD,PAYNE,,JR,BLACK,MAN,WON,YES,YES,,,
DEMOCRATIC,7/7/2020,NJ,10,JOHN,FLORA,J,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,10,EUGENE,MAZO,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,7/7/2020,NJ,11,MIKIE,SHERRILL,,,WHITE,WOMAN,WON,NO,YES,,,
DEMOCRATIC,7/7/2020,NJ,12,BONNIE,COLEMAN,WATSON,,BLACK,WOMAN,WON,YES,YES,,,
DEMOCRATIC,7/7/2020,NJ,12,LISA,MCCORMICK,,,WHITE,WOMAN,LOST,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,1,CLAIRE,GUSTAFSON,,,WHITE,WOMAN,WON,NO,NO,,,
REPUBLICAN,7/7/2020,NJ,2,JEFF,DREW,VAN,,WHITE,MAN,WON,YES,YES,,,
REPUBLICAN,7/7/2020,NJ,2,BOB,PATTERSON,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,3,KATE,GIBBS,,,WHITE,WOMAN,LOST,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,3,DAVID,RICHTER,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,4,CHRIS,SMITH,,,WHITE,MAN,WON,YES,YES,,,
REPUBLICAN,7/7/2020,NJ,4,ALTER,RICHTER,ELIEZER,,WHITE,MAN,LOST,YES,NO,,,https://newjerseyglobe.com/congress/richter-files-to-challenge-smith-in-nj-4-primary/
REPUBLICAN,7/7/2020,NJ,5,JAMES,BALDINI,,,WHITE,MAN,LOST,YES,NO,,,https://newjerseyglobe.com/education/baldini-raises-1400-for-nj-5-house-bid/
REPUBLICAN,7/7/2020,NJ,5,HECTOR,CASTILLO,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,5,JOHN,MCCANN,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,5,FRANK,PALLOTTA,,,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,6,SAMMY,GINDI,,,WHITE,MAN,LOST,YES,NO,,,https://newjerseyglobe.com/congress/gop-congressional-candidate-says-hes-pro-life-with-an-exception-for-liberals/
REPUBLICAN,7/7/2020,NJ,6,CHRISTIAN,ONUOHA,,,BLACK,MAN,WON,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,7,RAAFAT,BARSOOM,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,7,THOMAS,KEAN,,JR,WHITE,MAN,WON,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,7,TOM,PHILLIPS,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,8,JASON,MUSHNICK,,,WHITE,MAN,WON,NO,NO,,,
REPUBLICAN,7/7/2020,NJ,9,BILLY,PREMPEH,,,BLACK,MAN,WON,YES,NO,,,
REPUBLICAN,7/7/2020,NJ,9,TIMOTHY,WALSH,,,BLACK,MAN,WITHDREW,YES,NO,,,https://www.insidernj.com/bergen-county-young-republicans-re-elect-cericola-elect-walsh-chair-vice-chair/
REPUBLICAN,7/7/2020,NJ,10,JENNIFER,ZINONE,,,WHITE,WOMAN,WON,NO,NO,,,
REPUBLICAN,7/7/2020,NJ,11,ROSEMARY,BECCHI,,,WHITE,WOMAN,WON,NO,NO,,,
REPUBLICAN,7/7/2020,NJ,12,MARK,RAZZOLI,,,WHITE,MAN,WON,NO,NO,,,
DEMOCRATIC,7/14/2020,ME,1,CHELLIE,PINGREE,,,WHITE,WOMAN,WON,NO,YES,,,
DEMOCRATIC,7/14/2020,ME,2,JARED,GOLDEN,,,WHITE,MAN,WON,NO,YES,,,
REPUBLICAN,7/14/2020,ME,1,JAY,ALLEN,,,WHITE,MAN,WON,NO,NO,,,
