year,state,stage,special,first_name,middle_name,last_name,party,result,race,incumbent,gender
2024,MT,gen,NO,JON,,TESTER,DEMOCRAT,LOSER,WHITE,YES,MAN
2024,NV,gen,NO,JACKY,,ROSEN,DEMOCRAT,WINNER,WHITE,YES,WOMAN
2024,NV,gen,NO,SAM,,BROWN,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,OH,gen,NO,BERNIE,,MORENO,REPUBLICAN,WINNER,HISPANIC,NO,MAN
2024,OH,gen,NO,SHERROD,,BROWN,DEMOCRAT,LOSER,WHITE,YES,MAN
2024,PA,gen,NO,DAVE,,MCCORMICK,REPUBLICAN,WINNER,WHITE,NO,MAN
2024,PA,gen,NO,BOB,,CASEY,DEMOCRAT,LOSER,WHITE,YES,MAN
2024,TX,gen,NO,TED,,CRUZ,REPUBLICAN,WINNER,HISPANIC,YES,MAN
2024,TX,gen,NO,COLIN,,ALLRED,DEMOCRAT,LOSER,BLACK,NO,MAN
2024,WI,gen,NO,TAMMY,,BALDWIN,DEMOCRAT,WINNER,WHITE,YES,WOMAN
2024,WI,gen,NO,ERIC,,HOVDE,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,DE,gen,NO,LISA,BLUNT,ROCHESTER,DEMOCRAT,WINNER,BLACK,NO,WOMAN
2024,DE,gen,NO,ERIC,,HANSEN,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,HI,gen,NO,MAZIE,,HIRONO,DEMOCRAT,WINNER,ASIAN,YES,WOMAN
2024,HI,gen,NO,BOB,,MCDERMOTT,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,MD,gen,NO,ANGELA,,ALSOBROOKS,DEMOCRAT,WINNER,BLACK,NO,WOMAN
2024,MD,gen,NO,LARRY,,HOGAN,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,MN,gen,NO,AMY,,KLOBUCHAR,DEMOCRAT,WINNER,WHITE,YES,WOMAN
2024,MN,gen,NO,ROYCE,,WHITE,REPUBLICAN,LOSER,BLACK,NO,MAN
2024,NJ,gen,NO,ANDY,,KIM,DEMOCRAT,WINNER,ASIAN,NO,MAN
2024,NJ,gen,NO,CURTIS,,BASHAW,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,NM,gen,NO,MARTIN,,HEINRICH,DEMOCRAT,WINNER,WHITE,YES,MAN
2024,NM,gen,NO,NELLA,,DOMENICI,REPUBLICAN,LOSER,WHITE,NO,WOMAN
2024,NY,gen,NO,KIRSTEN,,GILLIBRAND,DEMOCRAT,WINNER,WHITE,YES,WOMAN
2024,NY,gen,NO,MICHAEL,,SAPRAICONE,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,VA,gen,NO,TIMOTHY,,KAINE,DEMOCRAT,WINNER,WHITE,YES,MAN
